url,college,from,dob,weight,to,active,position,height
http://www.basketball-reference.com/players/a/abdelal01.html,Duke University,1991,24-6-1968,240,1995,False,F-C,6-10
http://www.basketball-reference.com/players/a/abdulza01.html,Iowa State University,1969,7-4-1946,235,1978,False,C-F,6-9
http://www.basketball-reference.com/players/a/abdulka01.html,"University of California, Los Angeles",1970,16-4-1947,225,1989,False,C,7-2
http://www.basketball-reference.com/players/a/abdulma02.html,Louisiana State University,1991,9-3-1969,162,2001,False,G,6-1
http://www.basketball-reference.com/players/a/abdulta01.html,San Jose State University,1998,3-11-1974,223,2003,False,F,6-6
http://www.basketball-reference.com/players/a/abdursh01.html,University of California,1997,11-12-1976,225,2008,False,F,6-9
http://www.basketball-reference.com/players/a/abernto01.html,Indiana University,1977,6-5-1954,220,1981,False,F,6-7
http://www.basketball-reference.com/players/a/ablefo01.html,Western Kentucky University,1957,27-7-1932,180,1957,False,G,6-3
http://www.basketball-reference.com/players/a/abramjo01.html,Salem International University,1947,9-2-1919,195,1948,False,F,6-3
http://www.basketball-reference.com/players/a/ackeral01.html,Pepperdine University,2006,21-1-1983,185,2009,False,G,6-5
http://www.basketball-reference.com/players/a/ackerdo01.html,Long Island University,1954,4-9-1930,183,1954,False,G,6-0
http://www.basketball-reference.com/players/a/acresma01.html,Oral Roberts University,1988,15-11-1962,220,1993,False,F-C,6-11
http://www.basketball-reference.com/players/a/actonbu01.html,Hillsdale College,1968,11-1-1942,210,1968,False,F,6-6
http://www.basketball-reference.com/players/a/acyqu01.html,Baylor University,2013,6-10-1990,240,2016,True,F,6-7
http://www.basketball-reference.com/players/a/adamsal01.html,University of Oklahoma,1976,19-7-1954,210,1988,False,C-F,6-9
http://www.basketball-reference.com/players/a/adamsdo01.html,Northwestern University,1971,27-11-1947,210,1977,False,F,6-6
http://www.basketball-reference.com/players/a/adamsge01.html,Gardner-Webb University,1973,15-5-1949,210,1975,False,F-G,6-5
http://www.basketball-reference.com/players/a/adamsha01.html,University of Arizona,2007,20-6-1984,220,2009,False,G,6-4
http://www.basketball-reference.com/players/a/adamsjo01.html,"University of California, Los Angeles",2015,8-7-1994,209,2016,True,G,6-5
http://www.basketball-reference.com/players/a/adamsmi01.html,Boston College,1986,19-1-1963,162,1996,False,G,5-10
http://www.basketball-reference.com/players/a/adamsst01.html,University of Pittsburgh,2014,20-7-1993,255,2016,True,C,7-0
http://www.basketball-reference.com/players/a/addisra01.html,Syracuse University,1987,22-7-1964,215,1997,False,F-G,6-7
http://www.basketball-reference.com/players/a/adelmri01.html,Loyola Marymount University,1969,16-6-1946,175,1975,False,G,6-1
http://www.basketball-reference.com/players/a/adrieje01.html,University of Connecticut,2011,10-2-1986,245,2015,True,F,6-7
http://www.basketball-reference.com/players/a/afflaar01.html,"University of California, Los Angeles",2008,15-10-1985,210,2016,True,G,6-5
http://www.basketball-reference.com/players/a/agerma01.html,Michigan State University,2007,9-2-1984,202,2011,False,G,6-5
http://www.basketball-reference.com/players/a/aguirma01.html,DePaul University,1982,10-12-1959,232,1994,False,F-G,6-6
http://www.basketball-reference.com/players/a/ahearbl01.html,Missouri State University,2008,27-5-1984,190,2012,False,G,6-2
http://www.basketball-reference.com/players/a/aingeda01.html,Brigham Young University,1982,17-3-1959,175,1995,False,G,6-4
http://www.basketball-reference.com/players/a/aitchma01.html,Michigan State University,1968,21-9-1944,230,1968,False,F,6-7
http://www.basketball-reference.com/players/a/ajincal01.html,NA,2009,6-5-1988,248,2016,True,C,7-2
http://www.basketball-reference.com/players/a/akinhe01.html,Morehead State University,1967,31-7-1944,225,1969,False,C-F,6-10
http://www.basketball-reference.com/players/a/akognjo01.html,"California State University, Fullerton",2013,10-2-1986,185,2013,True,G,5-11
http://www.basketball-reference.com/players/a/alabiso01.html,Florida State University,2011,21-3-1988,251,2012,True,C,7-1
http://www.basketball-reference.com/players/a/alarima01.html,Duke University,1987,11-12-1963,217,1991,False,F,6-8
http://www.basketball-reference.com/players/a/alcorga01.html,"California State University, Fresno",1960,8-10-1936,225,1961,False,C,6-9
http://www.basketball-reference.com/players/a/aldemfu01.html,NA,2015,9-8-1991,240,2015,True,F-C,6-10
http://www.basketball-reference.com/players/a/aldrico01.html,University of Kansas,2011,31-10-1988,250,2016,True,C,6-11
http://www.basketball-reference.com/players/a/aldrila01.html,University of Texas at Austin,2007,19-7-1985,240,2016,True,F,6-11
http://www.basketball-reference.com/players/a/aleksch01.html,University of Connecticut,1985,26-2-1959,260,1985,False,C,6-11
http://www.basketball-reference.com/players/a/alexacl01.html,University of Kansas,2016,16-11-1995,240,2016,True,F,6-8
http://www.basketball-reference.com/players/a/alexaco01.html,University of Virginia,1996,22-6-1973,185,2005,False,G,6-1
http://www.basketball-reference.com/players/a/alexaco02.html,"California State University, Fresno",2001,27-4-1977,205,2003,False,G,6-5
http://www.basketball-reference.com/players/a/alexaga01.html,University of South Florida,1994,1-11-1969,240,1994,False,F,6-7
